sku,name,objective_primary,category_nav,form_display,form_key,pack_size_display,requires_rx,requires_validation,can_subscribe,subscription_plan_default,subscription_discount_pct,price_pix_brl,price_card_brl,compare_at_brl,cogs_estimate_brl,margin_target_pct,lead_time_days,shipping_class,seo_slug,seo_title,tags,short_benefit,active_ingredients,whatsapp_flow,upsell_parametrizado,builder_template_id,status,priority_rank
MJOY-0001,5-HTP 50 mg,Sono,Sono,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,5-htp-50-mg,5-HTP 50 mg | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,5-HTP 50 mg,none,True,5-htp,draft,1
MJOY-0002,Cúrcuma 450 mg,Saúde,Saúde,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,curcuma-450-mg-mjoy-0002,Cúrcuma 450 mg | MeJoy,saúde;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Cúrcuma 450 mg,none,True,curcuma,draft,2
MJOY-0003,Minoxidil Turbinado 100 mL,Cabelo,Cabelo,Solução Tópica,topical,100 mL,True,False,True,MENSAL,10,,,,,65,2,PADRAO,minoxidil-turbinado-100-ml,Minoxidil Turbinado 100 mL | MeJoy,cabelo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Minoxidil Turbinado 100 mL,rx_upload,True,minoxidil,draft,3
MJOY-0004,Morosil 500 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,morosil-500-mg,Morosil 500 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Morosil 500 mg,none,True,morosil,draft,4
MJOY-0005,Citrato de Magnésio 500 mg,Saúde,Saúde,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,citrato-de-magnesio-500-mg,Citrato de Magnésio 500 mg | MeJoy,saúde;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Citrato de Magnésio 500 mg,none,True,citrato,draft,5
MJOY-0006,Vitamina D3 2000 UI,Imunidade,Imunidade,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,vitamina-d3-2000-ui,Vitamina D3 2000 UI | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Vitamina D3 2000 UI,none,True,vitamina,draft,6
MJOY-0007,Silimarina 200 mg,Pele & Beleza,Pele & Beleza,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,silimarina-200-mg,Silimarina 200 mg | MeJoy,pele-&-beleza;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Silimarina 200 mg,none,True,silimarina,draft,7
MJOY-0008,Saw Palmetto 160 mg,Cabelo,Cabelo,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,saw-palmetto-160-mg-mjoy-0008,Saw Palmetto 160 mg | MeJoy,cabelo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Saw Palmetto 160 mg,none,True,saw,draft,8
MJOY-0009,Rhodiola Rosea 200 mg,Ansiedade & Humor,Ansiedade & Humor,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,rhodiola-rosea-200-mg-mjoy-0009,Rhodiola Rosea 200 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Rhodiola Rosea 200 mg,none,True,rhodiola,draft,9
MJOY-0010,Maca Peruana 500 mg,Hormonal & Libido,Hormonal & Libido,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,maca-peruana-500-mg-mjoy-0010,Maca Peruana 500 mg | MeJoy,hormonal-&-libido;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Maca Peruana 500 mg,none,True,maca,draft,10
MJOY-0011,Tribulus Terrestris 500 mg (40% saponinas),Hormonal & Libido,Hormonal & Libido,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,tribulus-terrestris-500-mg-40-saponinas-mjoy-0011,Tribulus Terrestris 500 mg (40% saponinas) | MeJoy,hormonal-&-libido;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Tribulus Terrestris 500 mg (40% saponinas),none,True,tribulus,draft,11
MJOY-0012,Cafeína 420 mg,Energia & Performance,Energia & Performance,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,cafeina-420-mg,Cafeína 420 mg | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Cafeína 420 mg,none,True,cafeina,draft,12
MJOY-0013,Berberina 500 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,berberina-500-mg-mjoy-0013,Berberina 500 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Berberina 500 mg,none,True,berberina,draft,13
MJOY-0014,Picolinato de Cromo 200 mcg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,picolinato-de-cromo-200-mcg,Picolinato de Cromo 200 mcg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Picolinato de Cromo 200 mcg,none,True,picolinato,draft,14
MJOY-0015,Multivitamínico A-Z,Imunidade,Imunidade,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,multivitaminico-a-z,Multivitamínico A-Z | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Multivitamínico A-Z,none,True,multivitaminico,draft,15
MJOY-0016,Inositol 500 mg,Ansiedade & Humor,Ansiedade & Humor,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,inositol-500-mg-mjoy-0016,Inositol 500 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Inositol 500 mg,none,True,inositol,draft,16
MJOY-0017,Coenzima Q10 100 mg,Energia & Performance,Energia & Performance,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,coenzima-q10-100-mg,Coenzima Q10 100 mg | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Coenzima Q10 100 mg,none,True,coenzima,draft,17
MJOY-0018,NAC 600 mg,Pele & Beleza,Pele & Beleza,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,nac-600-mg,NAC 600 mg | MeJoy,pele-&-beleza;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,NAC 600 mg,none,True,nac,draft,18
MJOY-0019,Quercetina 500 mg,Imunidade,Imunidade,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,quercetina-500-mg-mjoy-0019,Quercetina 500 mg | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Quercetina 500 mg,none,True,quercetina,draft,19
MJOY-0020,Ômega-3 (EPA/DHA),Articulações,Articulações,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,omega-3-epa-dha,Ômega-3 (EPA/DHA) | MeJoy,articulações;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Ômega-3 (EPA/DHA),none,True,omega-3,draft,20
MJOY-0021,Colágeno Hidrolisado,Pele & Beleza,Pele & Beleza,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,colageno-hidrolisado,Colágeno Hidrolisado | MeJoy,pele-&-beleza;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Colágeno Hidrolisado,none,True,colageno,draft,21
MJOY-0022,Biotina 5 mg,Pele & Beleza,Pele & Beleza,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,biotina-5-mg-mjoy-0022,Biotina 5 mg | MeJoy,pele-&-beleza;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Biotina 5 mg,none,True,biotina,draft,22
MJOY-0023,Zinco 30 mg,Imunidade,Imunidade,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,zinco-30-mg-mjoy-0023,Zinco 30 mg | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Zinco 30 mg,none,True,zinco,draft,23
MJOY-0024,Vitamina C 1000 mg,Imunidade,Imunidade,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,vitamina-c-1000-mg,Vitamina C 1000 mg | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Vitamina C 1000 mg,none,True,vitamina,draft,24
MJOY-0025,Creatina Monohidratada 200 g,Energia & Performance,Energia & Performance,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,creatina-monohidratada-200-g,Creatina Monohidratada 200 g | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Creatina Monohidratada 200 g,none,True,creatina,draft,25
MJOY-0026,Beta Alanina 3.2 g,Energia & Performance,Energia & Performance,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,beta-alanina-3-2-g,Beta Alanina 3.2 g | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Beta Alanina 3.2 g,none,True,beta,draft,26
MJOY-0027,Psyllium 300 g,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,psyllium-300-g-mjoy-0027,Psyllium 300 g | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Psyllium 300 g,none,True,psyllium,draft,27
MJOY-0028,Glutamina 300 g,Intestino,Intestino,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,glutamina-300-g,Glutamina 300 g | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Glutamina 300 g,none,True,glutamina,draft,28
MJOY-0029,Valeriana 300 mg,Sono,Sono,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,valeriana-300-mg,Valeriana 300 mg | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Valeriana 300 mg,none,True,valeriana,draft,29
MJOY-0030,Passiflora 300 mg,Sono,Sono,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,passiflora-300-mg,Passiflora 300 mg | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada para apoiar seu objetivo com praticidade e recorrência.,Passiflora 300 mg,none,True,passiflora,draft,30
MJOY-0031,Resveratrol 500 mg,Detox & Fígado,Detox & Fígado,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,resveratrol-500-mg-mjoy-0031,Resveratrol 500 mg | MeJoy,detox-&-fígado;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Resveratrol 500 mg,none,True,resveratrol,draft,31
MJOY-0032,Citrulina 500 mg,Energia & Performance,Energia & Performance,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,citrulina-500-mg-mjoy-0032,Citrulina 500 mg | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Citrulina 500 mg,none,True,citrulina,draft,32
MJOY-0033,Glutamina 500 mg,Intestino,Intestino,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,glutamina-500-mg,Glutamina 500 mg | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Glutamina 500 mg,none,True,glutamina,draft,33
MJOY-0034,Colina 100 mg,Detox & Fígado,Detox & Fígado,Creme,cream,50 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,colina-100-mg,Colina 100 mg | MeJoy,detox-&-fígado;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Colina 100 mg,none,True,colina,draft,34
MJOY-0035,Inibidor De Apetite (Fibras) 100 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Shampoo,shampoo,200 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,inibidor-de-apetite-fibras-100-mg-mjoy-0035,Inibidor De Apetite (Fibras) 100 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Inibidor De Apetite (Fibras) 100 mg,none,True,inibidor-de-apetite-fibras,draft,35
MJOY-0036,Inositol 500 mg,Ansiedade & Humor,Ansiedade & Humor,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,inositol-500-mg-mjoy-0036,Inositol 500 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Inositol 500 mg,none,True,inositol,draft,36
MJOY-0037,Taurina 5% + ativos,Energia & Performance,Energia & Performance,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,taurina-5-ativos-mjoy-0037,Taurina 5% + ativos | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Taurina 5% + ativos,none,True,taurina,draft,37
MJOY-0038,L-Carnitina 5% + ativos,Energia & Performance,Energia & Performance,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,l-carnitina-5-ativos,L-Carnitina 5% + ativos | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,L-Carnitina 5% + ativos,none,True,l-carnitina,draft,38
MJOY-0039,5-HTP,Ansiedade & Humor,Ansiedade & Humor,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,5-htp,5-HTP | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,5-HTP,none,True,5-htp,draft,39
MJOY-0040,Glicina 5% + ativos,Sono,Sono,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,glicina-5-ativos-mjoy-0040,Glicina 5% + ativos | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Glicina 5% + ativos,none,True,glicina,draft,40
MJOY-0041,L-Teanina 5% + ativos,Sono,Sono,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,l-teanina-5-ativos,L-Teanina 5% + ativos | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,L-Teanina 5% + ativos,none,True,l-teanina,draft,41
MJOY-0042,Multivitamínico 100 mg,Imunidade,Imunidade,Creme,cream,50 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,multivitaminico-100-mg,Multivitamínico 100 mg | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Multivitamínico 100 mg,none,True,multivitaminico,draft,42
MJOY-0043,Glicina 100 mg,Sono,Sono,Creme,cream,50 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,glicina-100-mg-mjoy-0043,Glicina 100 mg | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Glicina 100 mg,none,True,glicina,draft,43
MJOY-0044,Cactin 500 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Creme,cream,50 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,cactin-500-mg,Cactin 500 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Cactin 500 mg,none,True,cactin,draft,44
MJOY-0045,Vitamina D3 5.000 UI,Imunidade,Imunidade,Creme,cream,50 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,vitamina-d3-5-000-ui-mjoy-0045,Vitamina D3 5.000 UI | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Vitamina D3 5.000 UI,none,True,vitamina-d3,draft,45
MJOY-0046,Glutamina 100 mg,Intestino,Intestino,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,glutamina-100-mg,Glutamina 100 mg | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Glutamina 100 mg,none,True,glutamina,draft,46
MJOY-0047,Taurina 5% + ativos,Detox & Fígado,Detox & Fígado,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,taurina-5-ativos-mjoy-0047,Taurina 5% + ativos | MeJoy,detox-&-fígado;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Taurina 5% + ativos,none,True,taurina,draft,47
MJOY-0048,Psyllium 300 g,Intestino,Intestino,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,psyllium-300-g-mjoy-0048,Psyllium 300 g | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Psyllium 300 g,none,True,psyllium,draft,48
MJOY-0049,Taurina 100 mg,Detox & Fígado,Detox & Fígado,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,taurina-100-mg-mjoy-0049,Taurina 100 mg | MeJoy,detox-&-fígado;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Taurina 100 mg,none,True,taurina,draft,49
MJOY-0050,Rhodiola Rosea 200 mg,Ansiedade & Humor,Ansiedade & Humor,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,rhodiola-rosea-200-mg-mjoy-0050,Rhodiola Rosea 200 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Rhodiola Rosea 200 mg,none,True,rhodiola-rosea,draft,50
MJOY-0051,Creatina 200 g,Energia & Performance,Energia & Performance,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,creatina-200-g-mjoy-0051,Creatina 200 g | MeJoy,energia-&-performance;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Creatina 200 g,none,True,creatina,draft,51
MJOY-0052,Glicina 5% + ativos,Sono,Sono,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,glicina-5-ativos-mjoy-0052,Glicina 5% + ativos | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Glicina 5% + ativos,none,True,glicina,draft,52
MJOY-0053,L-Teanina,Sono,Sono,Pó,powder,200 g,False,False,True,MENSAL,10,,,,,65,2,PADRAO,l-teanina,L-Teanina | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,L-Teanina,none,True,l-teanina,draft,53
MJOY-0054,Própolis 100 mg,Imunidade,Imunidade,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,propolis-100-mg,Própolis 100 mg | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Própolis 100 mg,none,True,propolis,draft,54
MJOY-0055,Vitamina D3 5% + ativos,Imunidade,Imunidade,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,vitamina-d3-5-ativos,Vitamina D3 5% + ativos | MeJoy,imunidade;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Vitamina D3 5% + ativos,none,True,vitamina-d3,draft,55
MJOY-0056,Tribulus Terrestris 500 mg (40% saponinas),Hormonal & Libido,Hormonal & Libido,Sachê,sachet,30 sachês,False,False,True,MENSAL,10,,,,,65,2,PADRAO,tribulus-terrestris-500-mg-40-saponinas-mjoy-0056,Tribulus Terrestris 500 mg (40% saponinas) | MeJoy,hormonal-&-libido;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Tribulus Terrestris 500 mg (40% saponinas),none,True,tribulus-terrestris,draft,56
MJOY-0057,Biotina 5 mg,Cabelo,Cabelo,Shampoo,shampoo,200 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,biotina-5-mg-mjoy-0057,Biotina 5 mg | MeJoy,cabelo;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Biotina 5 mg,none,True,biotina,draft,57
MJOY-0058,Melatonina 5% + ativos,Sono,Sono,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,melatonina-5-ativos,Melatonina 5% + ativos | MeJoy,sono;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Melatonina 5% + ativos,none,True,melatonina,draft,58
MJOY-0059,Picolinato De Cromo 5% + ativos,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Solução Tópica,topical,100 mL,False,False,True,MENSAL,10,,,,,65,3,PADRAO,picolinato-de-cromo-5-ativos,Picolinato De Cromo 5% + ativos | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Picolinato De Cromo 5% + ativos,none,True,picolinato-de-cromo,draft,59
MJOY-0060,Rhodiola Rosea 200 mg,Ansiedade & Humor,Ansiedade & Humor,Gotas,drops,30 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,rhodiola-rosea-200-mg-mjoy-0060,Rhodiola Rosea 200 mg | MeJoy,ansiedade-&-humor;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Rhodiola Rosea 200 mg,none,True,rhodiola-rosea,draft,60
MJOY-0061,Enzimas Digestivas 300 mg,Intestino,Intestino,Cápsulas,caps,60 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,enzimas-digestivas-300-mg,Enzimas Digestivas 300 mg | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Enzimas Digestivas 300 mg,none,True,enzimas-digestivas,draft,61
MJOY-0062,Inulina 300 mg,Intestino,Intestino,Shampoo,shampoo,200 mL,False,False,True,MENSAL,10,,,,,65,2,PADRAO,inulina-300-mg,Inulina 300 mg | MeJoy,intestino;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Inulina 300 mg,none,True,inulina,draft,62
MJOY-0063,Cactin 300 mg,Emagrecimento & Metabolismo,Emagrecimento & Metabolismo,Cápsulas,caps,120 cápsulas,False,False,True,MENSAL,10,,,,,65,2,PADRAO,cactin-300-mg,Cactin 300 mg | MeJoy,emagrecimento-&-metabolismo;manipulado;moonjoy,Fórmula manipulada com qualidade e entrega nacional.,Cactin 300 mg,none,True,cactin,draft,63
