sku,niche,name,base_name,dose,pack,form_key,price_brl,priceCents
MEJOY-0001,Ansiedade e Estresse,5 HTP 100 mg,5 HTP,100 mg,60 cápsulas,caps,49.0,4900
MEJOY-0002,Ansiedade e Estresse,5 HTP 50 mg,5 HTP,50 mg,30 cápsulas,caps,28.0,2800
MEJOY-0003,Ansiedade e Estresse,AC MÁLICO + MAGNÉSIO QUELATO,AC MÁLICO + MAGNÉSIO QUELATO,,90 cápsulas,caps,55.0,5500
MEJOY-0004,Ansiedade e Estresse,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,ASWHAGANDA  (GINSENG INDIANDO),500 mg,30 cápsulas,caps,34.0,3400
MEJOY-0005,Ansiedade e Estresse,ASWHAGANDA  (GINSENG INDIANDO) 500 mg,ASWHAGANDA  (GINSENG INDIANDO),500 mg,60 cápsulas,caps,74.0,7400
MEJOY-0006,Ansiedade e Estresse,ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO,ATIVOS QUE AUXILIAM NA QUALIDADE DO SONO,,60 cápsulas,caps,83.0,8300
MEJOY-0007,Ansiedade e Estresse,BACOPA MONNIERI 250 mg,BACOPA MONNIERI,250 mg,60 cápsulas,caps,67.0,6700
MEJOY-0008,Ansiedade e Estresse,GINSENG PANAX 200 mg,GINSENG PANAX,200 mg,60 cápsulas,caps,30.0,3000
MEJOY-0009,Ansiedade e Estresse,INOSITOL 500 mg,INOSITOL,500 mg,60 cápsulas,caps,34.0,3400
MEJOY-0010,Ansiedade e Estresse,L TEANINE 200 mg,L TEANINE,200 mg,60 cápsulas,caps,38.0,3800
MEJOY-0011,Ansiedade e Estresse,PASSIFLORA 200 mg,PASSIFLORA,200 mg,60 cápsulas,caps,18.0,1800
MEJOY-0012,Ansiedade e Estresse,RHODIOLA ROSEA 300 mg,RHODIOLA ROSEA,300 mg,60 cápsulas,caps,45.0,4500
MEJOY-0013,Ansiedade e Estresse,TRIMAGNÉSIO,TRIMAGNÉSIO,,120 cápsulas,caps,78.0,7800
MEJOY-0014,Articulação,ARTICURE (COLÁGENO TIPO II) 40 mg,ARTICURE (COLÁGENO TIPO II),40 mg,30 cápsulas,caps,50.0,5000
MEJOY-0015,Articulação,BORO 3 mg,BORO,3 mg,60 cápsulas,caps,20.0,2000
MEJOY-0016,Articulação,BOSWELLIA SERRATA 300 mg,BOSWELLIA SERRATA,300 mg,90 cápsulas,caps,31.0,3100
MEJOY-0017,Articulação,CONDROITINA 250 mg,CONDROITINA,250 mg,60 cápsulas,caps,30.0,3000
MEJOY-0018,Articulação,CT2 (COLÁGENO TIPO II) 40 mg,CT2 (COLÁGENO TIPO II),40 mg,30 cápsulas,caps,31.0,3100
MEJOY-0019,Articulação,DIACERINA 50 mg,DIACERINA,50 mg,60 cápsulas,caps,42.0,4200
MEJOY-0020,Articulação,GARRA DO DIABO 500 mg,GARRA DO DIABO,500 mg,60 cápsulas,caps,37.0,3700
MEJOY-0021,Articulação,GLISODIN 250 mg,GLISODIN,250 mg,60 cápsulas,caps,253.0,25300
MEJOY-0022,Articulação,GLUCOMANNAN 1200 mg,GLUCOMANNAN,1200 mg,60 cápsulas,caps,40.0,4000
MEJOY-0023,Articulação,GLUCOSAMINA 500 mg,GLUCOSAMINA,500 mg,90 cápsulas,caps,61.0,6100
MEJOY-0024,Articulação,GLUCOSAMINA + CONDROITINA + CT2 + AC HIALURONICO,GLUCOSAMINA + CONDROITINA + CT2 + AC HIALURONICO,,30 cápsulas,caps,77.0,7700
MEJOY-0025,Articulação,GLUCOSAMINA + CONDROITINA + MSM (SACHÊS),GLUCOSAMINA + CONDROITINA + MSM (SACHÊS),,30 sachês,sachet,78.0,7800
MEJOY-0026,Articulação,MSM 400 mg,MSM,400 mg,60 cápsulas,caps,22.0,2200
MEJOY-0027,Articulação,SAME 200 mg,SAME,200 mg,60 cápsulas,caps,121.0,12100
MEJOY-0028,Articulação,SELÊNIO 400 mcg,SELÊNIO,400 mcg,30 cápsulas,caps,28.0,2800
MEJOY-0029,Articulação,SUCUPIRA 400 mg,SUCUPIRA,400 mg,60 cápsulas,caps,40.0,4000
MEJOY-0030,Articulação,UC II 40 mg,UC II,40 mg,30 cápsulas,caps,67.0,6700
MEJOY-0031,Articulação,UC II 40 mg,UC II,40 mg,60 cápsulas,caps,112.0,11200
MEJOY-0032,Articulação,URTIGA 400 mg,URTIGA,400 mg,60 cápsulas,caps,75.0,7500
MEJOY-0033,Articulação,ÓLEO DE BORRAGEM 500 mg,ÓLEO DE BORRAGEM,500 mg,60 cápsulas,caps,52.0,5200
MEJOY-0034,Capilar,ACTRISAVE 250 mg,ACTRISAVE,250 mg,30 cápsulas,caps,150.0,15000
MEJOY-0035,Capilar,HAIR COMPLEX,HAIR COMPLEX,,60 cápsulas,caps,76.0,7600
MEJOY-0036,Capilar,MINOXDIL + D PANTENOL + AUXINA TRICÓGENA 100 mL,MINOXDIL + D PANTENOL + AUXINA TRICÓGENA,,100 mL,topical,35.0,3500
MEJOY-0037,Capilar,MINOXIDIL 5% COM BIOTINA 100 mL,MINOXIDIL 5% COM BIOTINA,,100 mL,topical,47.0,4700
MEJOY-0038,Capilar,MINOXIDIL 5% COM PROPILENOGLICOL 100 mL,MINOXIDIL 5% COM PROPILENOGLICOL,,100 mL,topical,45.0,4500
MEJOY-0039,Capilar,MINOXIDIL 5% EM TRICHOSOL 50 mL,MINOXIDIL 5% EM TRICHOSOL,,50 mL,topical,46.0,4600
MEJOY-0040,Capilar,MINOXIDIL TURBINADO 100 mL,MINOXIDIL TURBINADO,,100 mL,topical,32.0,3200
MEJOY-0041,Capilar,PILL FOOD,PILL FOOD,,60 cápsulas,caps,20.0,2000
MEJOY-0042,Capilar,PILL FOOD TURBINADO,PILL FOOD TURBINADO,,120 cápsulas,caps,26.0,2600
MEJOY-0043,Capilar,PILL FOOD TURBINADO,PILL FOOD TURBINADO,,60 cápsulas,caps,51.0,5100
MEJOY-0044,Capilar,SAW PALMETO 160 mg,SAW PALMETO,160 mg,60 cápsulas,caps,26.0,2600
MEJOY-0045,Capilar,"TRICHOXIDIL 2,5% 60 mL","TRICHOXIDIL 2,5%",,60 mL,topical,54.0,5400
MEJOY-0046,Capilar,UPILL FEMININA,UPILL FEMININA,,90 cápsulas,caps,143.0,14300
MEJOY-0047,Capilar,UPILL MEN,UPILL MEN,,120 cápsulas,caps,120.0,12000
MEJOY-0048,Emagrecimento,AKKERMAT 150 mg,AKKERMAT,150 mg,30 cápsulas,caps,95.0,9500
MEJOY-0049,Emagrecimento,ALFA LIPOICO 300 mg,ALFA LIPOICO,300 mg,60 cápsulas,caps,57.0,5700
MEJOY-0050,Emagrecimento,CACTIN 500 mg,CACTIN,500 mg,60 cápsulas,caps,65.0,6500
MEJOY-0051,Emagrecimento,CAFEÍNA 420 mg,CAFEÍNA,420 mg,60 cápsulas,caps,45.0,4500
MEJOY-0052,Emagrecimento,CAVALINHA 100 mg,CAVALINHA,100 mg,60 cápsulas,caps,21.0,2100
MEJOY-0053,Emagrecimento,CHA VERDE (EXT S) 500 mg,CHA VERDE (EXT S),500 mg,60 cápsulas,caps,45.0,4500
MEJOY-0054,Emagrecimento,CREATINA 200 G,CREATINA,200 G,60 cápsulas,caps,56.0,5600
MEJOY-0055,Emagrecimento,CURCUMA 450 mg,CURCUMA,450 mg,60 cápsulas,caps,70.0,7000
MEJOY-0056,Emagrecimento,GARCINIA CAMBOGIA 500 mg,GARCINIA CAMBOGIA,500 mg,60 cápsulas,caps,22.0,2200
MEJOY-0057,Emagrecimento,IOIMBINA 5 mg,IOIMBINA,5 mg,120 cápsulas,caps,47.0,4700
MEJOY-0058,Emagrecimento,IOIMBINA 5 mg,IOIMBINA,5 mg,60 cápsulas,caps,25.0,2500
MEJOY-0059,Emagrecimento,IOIMBINA 5 mg,IOIMBINA,5 mg,90 cápsulas,caps,32.0,3200
MEJOY-0060,Emagrecimento,IOMBINA 10 mg,IOMBINA,10 mg,90 cápsulas,caps,45.0,4500
MEJOY-0061,Emagrecimento,L-CARNITINA 500 mg,L-CARNITINA,500 mg,60 cápsulas,caps,60.0,6000
MEJOY-0062,Emagrecimento,MITBURN 50 mg,MITBURN,50 mg,30 cápsulas,caps,87.0,8700
MEJOY-0063,Emagrecimento,MITBURN 50 mg,MITBURN,50 mg,60 cápsulas,caps,155.0,15500
MEJOY-0064,Emagrecimento,MOROSIL 500 mg,MOROSIL,500 mg,30 cápsulas,caps,55.0,5500
MEJOY-0065,Emagrecimento,MOROSIL 500 mg,MOROSIL,500 mg,60 cápsulas,caps,95.0,9500
MEJOY-0066,Emagrecimento,ORLISTAT 120 mg,ORLISTAT,120 mg,60 cápsulas,caps,67.0,6700
MEJOY-0067,Emagrecimento,PICOLINATO CROMO 100 mcg,PICOLINATO CROMO,100 mcg,60 cápsulas,caps,27.0,2700
MEJOY-0068,Emagrecimento,PICOLINATO CROMO 350 mcg,PICOLINATO CROMO,350 mcg,90 cápsulas,caps,35.0,3500
MEJOY-0069,Emagrecimento,SPIRULINA 500 mg,SPIRULINA,500 mg,60 cápsulas,caps,20.0,2000
MEJOY-0070,Hepato Detox,ACETIL L-CARNITINA + AC ALFA LIPOICO,ACETIL L-CARNITINA + AC ALFA LIPOICO,,60 cápsulas,caps,126.0,12600
MEJOY-0071,Hepato Detox,CURCUMA COM PIMENTA PRETA,CURCUMA COM PIMENTA PRETA,,60 cápsulas,caps,64.0,6400
MEJOY-0072,Hepato Detox,RESVERATROL 250 mg,RESVERATROL,250 mg,60 cápsulas,caps,98.0,9800
MEJOY-0073,Hepato Detox,SILIMARINA 200 mg,SILIMARINA,200 mg,120 cápsulas,caps,50.0,5000
MEJOY-0074,Hepato Detox,SILIMARINA 200 mg,SILIMARINA,200 mg,60 cápsulas,caps,32.0,3200
MEJOY-0075,Hepato Detox,SILIMARINA + METIONINA,SILIMARINA + METIONINA,,60 cápsulas,caps,51.0,5100
MEJOY-0076,Imunidade,ASTAXANTINA 4 mg,ASTAXANTINA,4 mg,60 cápsulas,caps,34.0,3400
MEJOY-0077,Imunidade,COENZIMA Q10 100 mg,COENZIMA Q10,100 mg,120 cápsulas,caps,80.0,8000
MEJOY-0078,Imunidade,COENZIMA Q10 100 mg,COENZIMA Q10,100 mg,60 cápsulas,caps,54.0,5400
MEJOY-0079,Imunidade,COENZIMA Q10 200 mg,COENZIMA Q10,200 mg,120 cápsulas,caps,155.0,15500
MEJOY-0080,Imunidade,COMPLEXO B,COMPLEXO B,,30 cápsulas,caps,34.0,3400
MEJOY-0081,Imunidade,FERRO 18 mg,FERRO,18 mg,90 cápsulas,caps,26.0,2600
MEJOY-0082,Imunidade,LACTOBACILLUS REUTERI 600 MLH UFC,LACTOBACILLUS REUTERI,600 MLH UFC,30 cápsulas,caps,33.0,3300
MEJOY-0083,Imunidade,LISINA 500 mg,LISINA,500 mg,30 cápsulas,caps,24.0,2400
MEJOY-0084,Imunidade,MULTIVITAMINICO IMUNE OF,MULTIVITAMINICO IMUNE OF,,60 cápsulas,caps,45.0,4500
MEJOY-0085,Imunidade,N ACETILCISTEINA (NAC) 500 mg,N ACETILCISTEINA (NAC),500 mg,60 cápsulas,caps,48.0,4800
MEJOY-0086,Imunidade,OL SEMENTE DE ABÓORA 1 G,OL SEMENTE DE ABÓORA,1 G,80 cápsulas,caps,75.0,7500
MEJOY-0087,Imunidade,PINUS PINASTER 150 mg,PINUS PINASTER,150 mg,30 cápsulas,caps,25.0,2500
MEJOY-0088,Imunidade,TRANS RESVERATROL 100 mg,TRANS RESVERATROL,100 mg,30 cápsulas,caps,40.0,4000
MEJOY-0089,Imunidade,VITAMINA A 10.000 UI,VITAMINA A,10.000 UI,60 cápsulas,caps,20.0,2000
MEJOY-0090,Imunidade,"VITAMINA A, C, D, E  & ZINCO","VITAMINA A, C, D, E  & ZINCO",,30 cápsulas,caps,46.0,4600
MEJOY-0091,Imunidade,VITAMINA B6 (PIRIDOXINA) 100 mg,VITAMINA B6 (PIRIDOXINA),100 mg,30 cápsulas,caps,21.0,2100
MEJOY-0092,Imunidade,VITAMINA B9 800 mcg,VITAMINA B9,800 mcg,60 cápsulas,caps,30.0,3000
MEJOY-0093,Imunidade,VITAMINA C 500 mg,VITAMINA C,500 mg,60 cápsulas,caps,25.0,2500
MEJOY-0094,Imunidade,VITAMINA C + ZINCO,VITAMINA C + ZINCO,,30 cápsulas,caps,27.0,2700
MEJOY-0095,Imunidade,VITAMINA D 10.000 UI,VITAMINA D,10.000 UI,120 cápsulas,caps,50.0,5000
MEJOY-0096,Imunidade,VITAMINA D 5.000 UI,VITAMINA D,5.000 UI,60 cápsulas,caps,26.0,2600
MEJOY-0097,Imunidade,VITAMINA D 50.000 UI (1X POR SEM),VITAMINA D,50.000 UI (1X POR SEM),12 cápsulas,caps,29.0,2900
MEJOY-0098,Imunidade,VITAMINA E 400 UI,VITAMINA E,400 UI,60 cápsulas,caps,38.0,3800
MEJOY-0099,Imunidade,ZINCO 50 mg,ZINCO,50 mg,60 cápsulas,caps,23.0,2300
MEJOY-0100,Imunidade,ÔMEGA 3 1 G,ÔMEGA 3,1 G,60 cápsulas,caps,34.0,3400
MEJOY-0101,Intestino,BETAÍNA HCL 650 mg,BETAÍNA HCL,650 mg,90 cápsulas,caps,41.0,4100
MEJOY-0102,Intestino,BIOINTESTIL 600 mg,BIOINTESTIL,600 mg,30 cápsulas,caps,106.0,10600
MEJOY-0103,Intestino,BOLDO 200 mg,BOLDO,200 mg,60 cápsulas,caps,25.0,2500
MEJOY-0104,Intestino,BROMELINA 700 mg,BROMELINA,700 mg,60 cápsulas,caps,151.0,15100
MEJOY-0105,Intestino,COMPLEXO DE ENZIMA,COMPLEXO DE ENZIMA,,60 cápsulas,caps,60.0,6000
MEJOY-0106,Intestino,COMPLEXO PROBIÓTICO,COMPLEXO PROBIÓTICO,,60 cápsulas,caps,85.0,8500
MEJOY-0107,Intestino,GENGIBRE 250 mg,GENGIBRE,250 mg,120 cápsulas,caps,27.0,2700
MEJOY-0108,Intestino,GENGIBRE 400 mg,GENGIBRE,400 mg,120 cápsulas,caps,59.0,5900
MEJOY-0109,Intestino,GLICINA 500 mg,GLICINA,500 mg,60 cápsulas,caps,37.0,3700
MEJOY-0110,Intestino,GOMA GUAR 500 mg,GOMA GUAR,500 mg,60 cápsulas,caps,33.0,3300
MEJOY-0111,Intestino,INTEST BOOSTER 100 mg,INTEST BOOSTER,100 mg,30 cápsulas,caps,114.0,11400
MEJOY-0112,Intestino,LACTOBACILLUS CLAUSII 2 BLH UFC,LACTOBACILLUS CLAUSII,2 BLH UFC,30 cápsulas,caps,48.0,4800
MEJOY-0113,Intestino,LACTOBACILLUS GASERI 1 BLH UFC,LACTOBACILLUS GASERI,1 BLH UFC,60 cápsulas,caps,54.0,5400
MEJOY-0114,Intestino,MIX DIGESTIVO,MIX DIGESTIVO,,60 cápsulas,caps,72.0,7200
MEJOY-0115,Intestino,OLEO DE ORÉGANO,OLEO DE ORÉGANO,,30 cápsulas,caps,57.0,5700
MEJOY-0116,Intestino,PIPERINA 15 mg,PIPERINA,15 mg,90 cápsulas,caps,59.0,5900
MEJOY-0117,Intestino,PRÉ E PRO BIÓTICOS PARA BOM FUNCIONAMENTO INTESTINAL,PRÉ E PRO BIÓTICOS PARA BOM FUNCIONAMENTO INTESTINAL,,60 cápsulas,caps,82.0,8200
MEJOY-0118,Intestino,PSYLLIUM 500 mg,PSYLLIUM,500 mg,60 cápsulas,caps,34.0,3400
MEJOY-0119,Intestino,SAIS BILIARES 300 mg,SAIS BILIARES,300 mg,60 cápsulas,caps,68.0,6800
MEJOY-0120,Intestino,SIMETICONA 100 mg,SIMETICONA,100 mg,60 cápsulas,caps,30.0,3000
MEJOY-0121,Libido e Disposição,CINDURA 800 mg,CINDURA,800 mg,30 cápsulas,caps,147.0,14700
MEJOY-0122,Libido e Disposição,FENO GRECO 1000 mg,FENO GRECO,1000 mg,60 cápsulas,caps,95.0,9500
MEJOY-0123,Libido e Disposição,KSM 66 (ASHWAGANDHA) 300 mg,KSM 66 (ASHWAGANDHA),300 mg,60 cápsulas,caps,63.0,6300
MEJOY-0124,Libido e Disposição,MACA PERUANA 500 mg,MACA PERUANA,500 mg,120 cápsulas,caps,50.0,5000
MEJOY-0125,Libido e Disposição,MACA PERUANA 500 mg,MACA PERUANA,500 mg,60 cápsulas,caps,26.0,2600
MEJOY-0126,Libido e Disposição,TADALAFILA 10 mg,TADALAFILA,10 mg,30 cápsulas,caps,40.0,4000
MEJOY-0127,Libido e Disposição,TADALAFILA 10 mg,TADALAFILA,10 mg,60 cápsulas,caps,67.0,6700
MEJOY-0128,Libido e Disposição,TADALAFILA 5 mg,TADALAFILA,5 mg,60 cápsulas,caps,43.0,4300
MEJOY-0129,Libido e Disposição,TESTOFEN 300 mg,TESTOFEN,300 mg,60 cápsulas,caps,122.0,12200
MEJOY-0130,Libido e Disposição,TRIBULLUS TERRESTRIS 500 mg,TRIBULLUS TERRESTRIS,500 mg,120 cápsulas,caps,59.0,5900
MEJOY-0131,Libido e Disposição,TRIBULLUS TERRESTRIS 500 mg,TRIBULLUS TERRESTRIS,500 mg,60 cápsulas,caps,48.0,4800
MEJOY-0132,Lipedema,CENTELLA ASIÁTICA 500 mg,CENTELLA ASIÁTICA,500 mg,60 cápsulas,caps,32.0,3200
MEJOY-0133,Lipedema,"COLÁGENO COM AC HIALURÔNICO, BIOTINA, HIBISCO E VITAMINA C 300g","COLÁGENO COM AC HIALURÔNICO, BIOTINA, HIBISCO E VITAMINA C",,300g,powder,128.0,12800
MEJOY-0134,Lipedema,COLÁGENO HIDROLISADO 500 mg,COLÁGENO HIDROLISADO,500 mg,60 cápsulas,caps,24.0,2400
MEJOY-0135,Lipedema,COLÁGENO HIDROLISADO COM VITAMINA C,COLÁGENO HIDROLISADO COM VITAMINA C,,120 cápsulas,caps,48.0,4800
MEJOY-0136,Lipedema,"COLÁGENO SKIN COM VERISOL 2,5G (SACHÊS)","COLÁGENO SKIN COM VERISOL 2,5G (SACHÊS)",,30 sachês,sachet,89.0,8900
MEJOY-0137,Lipedema,COMPOSTO ANTI CELULITE,COMPOSTO ANTI CELULITE,,60 cápsulas,caps,54.0,5400
MEJOY-0138,Lipedema,COMPOSTO WELLNESS ANGELA BORGES,COMPOSTO WELLNESS ANGELA BORGES,,60 cápsulas,caps,125.0,12500
MEJOY-0139,Lipedema,CREME CORPORAL FIRMADOR COM COENZIMA Q10 100  g,CREME CORPORAL FIRMADOR COM COENZIMA Q10,,100  g,cream,39.0,3900
MEJOY-0140,Lipedema,DIMPLESS 40 mg,DIMPLESS,40 mg,30 cápsulas,caps,85.0,8500
MEJOY-0141,Menopausa/TPM,AMORA NEGRA 500 mg,AMORA NEGRA,500 mg,60 cápsulas,caps,24.0,2400
MEJOY-0142,Menopausa/TPM,CIMICIFUGA 40 mg,CIMICIFUGA,40 mg,60 cápsulas,caps,21.0,2100
MEJOY-0143,Menopausa/TPM,COMPOSTO EQUILIBRIO HORM. DA MULHER,COMPOSTO EQUILIBRIO HORM. DA MULHER,,60 cápsulas,caps,74.0,7400
MEJOY-0144,Menopausa/TPM,COMPOSTO LIBIDO,COMPOSTO LIBIDO,,60 cápsulas,caps,110.0,11000
MEJOY-0145,Menopausa/TPM,COMPOSTO MENOPAUSA,COMPOSTO MENOPAUSA,,60 cápsulas,caps,155.0,15500
MEJOY-0146,Menopausa/TPM,ISOFLAVONA 80 mg,ISOFLAVONA,80 mg,60 cápsulas,caps,39.0,3900
MEJOY-0147,Menopausa/TPM,OLEO DE PRIMULA 500 mg,OLEO DE PRIMULA,500 mg,60 cápsulas,caps,23.0,2300
MEJOY-0148,Menopausa/TPM,ORMONELLE 250 mg,ORMONELLE,250 mg,30 cápsulas,caps,121.0,12100
MEJOY-0149,Menopausa/TPM,PROGESTERONA TRANSDÉRMICA 50G 50 g,PROGESTERONA TRANSDÉRMICA 50G,,50 g,cream,110.0,11000
MEJOY-0150,Menopausa/TPM,VITEX AGNUS CASTUS 300 mg,VITEX AGNUS CASTUS,300 mg,30 cápsulas,caps,40.0,4000
MEJOY-0151,Menopausa/TPM,YAM MEXICANO 500 mg,YAM MEXICANO,500 mg,60 cápsulas,caps,47.0,4700
MEJOY-0152,Sono,GABA 200 mg,GABA,200 mg,60 cápsulas,caps,23.0,2300
MEJOY-0153,Sono,GABA 400 mg,GABA,400 mg,60 cápsulas,caps,33.0,3300
MEJOY-0154,Sono,MELATONINA 3 mg,MELATONINA,3 mg,100 cápsulas,caps,44.0,4400
MEJOY-0155,Sono,MELATONINA 5 mg,MELATONINA,5 mg,100 cápsulas,caps,54.0,5400
MEJOY-0156,Sono,MELATONINA 5 mg,MELATONINA,5 mg,30 cápsulas,caps,22.0,2200
MEJOY-0157,Sono,MULUNGU 200 mg,MULUNGU,200 mg,60 cápsulas,caps,21.0,2100
MEJOY-0158,Sono,PASSIFLORA 200 mg,PASSIFLORA,200 mg,60 cápsulas,caps,20.0,2000
MEJOY-0159,Sono,PROSLEPP 130 mg,PROSLEPP,130 mg,60 cápsulas,caps,59.0,5900
MEJOY-0160,Sono,RELORA 250 mg,RELORA,250 mg,60 cápsulas,caps,128.0,12800
MEJOY-0161,Sono,RELORA 500 mg,RELORA,500 mg,30 cápsulas,caps,74.0,7400
MEJOY-0162,Sono,VALERIANA 100 mg,VALERIANA,100 mg,60 cápsulas,caps,21.0,2100
